First Token Time,Final Token Time,Chunk Count
2.5737018305808306,4.636021394282579,19
4.279043525457382,7.283405663445592,67
5.335714602842927,7.141379546374083,91
2.739355694502592,4.8971596993505955,52
5.129455640912056,6.998171616345644,99
3.903999526053667,9.378103237599134,226
2.4683215711265802,2.769029775634408,17
2.9473170675337315,4.370247066020966,74
3.247794048860669,3.4195184987038374,10
3.0550711881369352,6.653512412682176,128
3.8234413657337427,6.414865309372544,139
2.4499181751161814,3.434554250910878,55
2.2546252962201834,5.38543613255024,95
3.5615567471832037,6.325167689472437,134
3.6316421292722225,9.171702673658729,209
2.9847632087767124,3.738404816016555,67
3.6094780061393976,8.755576997995377,194
2.4362254068255424,10.526345156133175,264
2.5743234753608704,3.8796452414244413,35
4.631138332188129,7.7710723746567965,171
3.310836663469672,6.502975044772029,173
2.53712110593915,4.170736193656921,85
2.045268112793565,4.078866006806493,73
1.6801655162125826,4.248769212514162,114
2.176109164953232,8.682969957590103,309
2.9647273756563663,6.018733149394393,159
2.6156616285443306,5.753200149163604,103
2.6265430953353643,3.087058799341321,26
1.2585951667279005,2.044504724442959,45
3.896292770281434,5.6634592320770025,6
5.459427261725068,6.792699744924903,72
5.560398371890187,7.340031057596207,123
3.102126743644476,7.116943785920739,90
4.149048857390881,6.2928303219377995,44
5.024210590869188,7.247388057410717,159
2.264545887708664,5.215572476387024,40
4.46890015527606,6.188398607075214,76
4.425331875681877,7.272208008915186,165
2.2960687521845102,4.511170603334904,44
3.506141372025013,5.659098945558071,58
3.509384736418724,5.972287133336067,111
3.1740231215953827,4.50326170399785,48
3.0807873345911503,5.45999938622117,78
3.9642418064177036,6.4765857476741076,169
2.0714691169559956,5.49228360503912,131
2.137396452948451,3.039152916520834,51
1.6257473025470972,4.373140674084425,145
2.4031973257660866,3.4517034497112036,59
2.6377038676291704,6.155310846865177,122
3.4015754517167807,2.7441365774720907,24
2.3148638922721148,5.256928326562047,82
2.568579288199544,20.92888086102903,699
4.181330963969231,8.651991736143827,218
2.6536215282976627,3.9393048714846373,68
1.408188421279192,4.006819514557719,103
2.0251278560608625,3.3616221882402897,66
2.3894126415252686,4.025911912322044,42
2.91200084798038,3.872194344177842,53
2.415595391765237,3.246713802218437,47
2.542461358010769,5.177066741511226,76
2.2081153132021427,7.843168675899506,122
4.794982807710767,8.301730731502175,190
2.180512335151434,3.7203473411500454,83
2.333235442638397,2.1633351147174835,12
1.9564103428274393,5.722046164795756,162
2.316449072211981,3.823459602892399,81
1.7316227052360773,3.8929505590349436,48
2.5863445717841387,4.594291875138879,113
