First Token Time,Final Token Time,Chunk Count
5.622675808146596,7.791586151346564,25
6.59016633592546,8.34705539047718,44
4.783940110355616,2.605149207636714,9
4.174166839569807,6.356281815096736,38
3.498931558802724,8.050945807248354,61
2.8925150390714407,9.106629280373454,66
3.9184957183897495,12.093797959387302,79
2.8496411573141813,7.774772996082902,69
2.382473351433873,7.530117355287075,87
3.024149250239134,5.385727381333709,61
2.2860533073544502,4.817893944680691,58
2.747010573744774,4.668404381722212,65
1.8820070326328278,3.9463629573583603,29
2.3852842282503843,8.74277637898922,135
2.016014015302062,4.640411447733641,66
1.7919432185590267,3.4325652346014977,21
2.4124055840075016,5.368198566138744,73
2.7348551154136658,4.453437527641654,48
2.853178907185793,2.8291478026658297,24
1.792970111593604,2.185953291133046,14
1.8295550663024187,4.6349176075309515,9
2.8380637895315886,8.886583229526877,105
3.542774273082614,4.1264710035175085,10
3.930046748369932,6.278371449559927,39
3.795531814917922,3.3721436001360416,22
4.805923352017999,7.470575951039791,75
3.388690760359168,8.858291311189532,87
2.729902070015669,9.593100752681494,136
2.5432713348418474,5.987340819090605,92
1.5000793188810349,4.011792443692684,34
1.5825223047286272,3.7867167200893164,24
2.9692460875958204,3.5768841840326786,29
3.1897109132260084,3.341371214017272,19
2.8597907964140177,5.672041406854987,41
1.709079273045063,12.382566688582301,155
2.071839801967144,6.604209017008543,57
2.125560659915209,3.61320361495018,7
3.161728462204337,3.651330968365073,4
2.908107692375779,2.9628599137067795,4
3.5848492067307234,10.140644824132323,89
3.1974064018577337,6.982632074505091,54
3.5659840162843466,6.31383553892374,37
2.8794928565621376,5.458788614720106,47
4.287132725119591,6.239979838952422,74
4.0183375757187605,3.4128974210470915,5
4.166659522801638,4.02500524930656,17
2.36900320276618,22.23276749625802,350
2.5147852208465338,1.9349406622350216,4
3.3946232926100492,5.033226519823074,42
2.9687903579324484,5.258111551403999,46
3.1357292663306,2.7585585862398148,3
2.341922890394926,5.392443712800741,63
1.8528533037751913,17.66313930414617,262
2.6905516255646944,9.790682066231966,143
1.7298934143036604,1.6432058736681938,10
1.5714899841696024,5.045150399208069,78
1.4003132488578558,6.683994518592954,133
2.0569269210100174,2.2141794115304947,18
1.418083967640996,8.938558483496308,87
1.7214573752135038,5.621868664398789,24
1.7807371150702238,7.463679760694504,42
2.735098058357835,3.8722455240786076,12
2.8039466589689255,8.993746919557452,87
3.2857312690466642,5.868205280974507,37
4.358958570286632,5.965093115344644,47
3.6001200079917908,8.842577254399657,85
3.933572880923748,3.4252220429480076,43
3.7900865748524666,14.481408266350627,251
3.530595852062106,6.605196649208665,79
3.741666864603758,2.4770122580230236,23
2.2280693035572767,12.733684184029698,214
1.8989679887890816,4.632257759571075,23
2.9456182830035686,6.2485674396157265,36
2.6364920660853386,3.9799149576574564,2
2.7528040129691362,5.740425759926438,25
2.922393459826708,8.951248969882727,63
4.046625943854451,6.137928694486618,29
2.8699923753738403,8.515350699424744,68
3.955524280667305,7.246107691898942,64
5.380237318575382,3.1185754742473364,21
4.622662195935845,5.97479572892189,54
4.5636305790394545,22.957949213683605,387
4.477439194917679,7.810124194249511,103
4.060142818838358,9.740317951887846,132
2.4857294522225857,2.1310221403837204,21
1.634627116844058,11.407076641917229,213
2.2973387222737074,3.78371905349195,33
1.9322652518749237,4.247104536741972,42
2.3883690796792507,3.981096237897873,12
3.4639074485749006,3.9596488792449236,10
2.8835870437324047,6.375980239361525,8
2.919827487319708,6.431149885058403,20
4.005950598046184,9.429884895682335,59
5.509734282270074,9.074652805924416,54
5.7937632985413074,6.086299158632755,34
5.134595211595297,11.776377875357866,114
5.020256144925952,9.056603945791721,80
4.964069250971079,10.085908683016896,104
5.487280510365963,2.8798595126718283,34
5.114557867869735,9.250162029638886,106
1.6087235361337662,3.0905035752803087,44
1.9595197848975658,12.447376519441605,192
1.3729718662798405,2.6172496918588877,6
2.048128107562661,4.02210745960474,62
2.081762244924903,2.672392973676324,30
1.8809983190149069,3.745697233825922,49
1.639020612463355,2.460391156375408,14
2.1042686570435762,2.816188123077154,28
2.1132214311510324,4.515383843332529,31
2.394480999559164,5.746698530390859,32
2.868300162255764,4.287691157311201,25
2.5524531453847885,4.722033720463514,20
3.6517993044108152,7.061586508527398,61
3.530209792777896,2.9380710516124964,29
3.3421152234077454,9.229255702346563,103
3.524835767224431,7.296313218772411,73
3.1225750278681517,4.967415574938059,41
1.7360907550901175,2.507855111733079,22
2.8798030633479357,6.98677066154778,86
1.9345166087150574,4.81174218095839,63
1.477428387850523,5.086752226576209,65
1.8938197772949934,4.168452106416225,49
1.617451835423708,2.4832233637571335,3
1.8365113530308008,5.467577371746302,42
2.847441788762808,3.5702414885163307,11
3.280466029420495,7.733712255954742,77
3.2692451756447554,4.714121293276548,37
2.429863279685378,11.48581331409514,162
1.4547667298465967,5.917953498661518,77
2.6948559004813433,4.340852048248053,31
2.1046487521380186,4.93495212122798,50
2.730316039174795,3.789321966469288,43
2.8763202484697104,4.728059772402048,68
2.8233436960726976,23.189289344474673,374
2.6203303765505552,2.0324089154601097,5
2.092547355219722,4.25343706086278,55
1.9309132620692253,4.316063629463315,25
2.4146480970084667,3.486017905175686,6
2.0896197352558374,15.350429764017463,231
2.6772546228021383,5.412036973983049,31
2.8623752295970917,4.722706787288189,18
4.0766397546976805,9.733832582831383,96
3.225827544927597,3.045580705627799,9
2.7532119434326887,6.91514552757144,51
4.1999157294631,2.5468017384409904,17
3.124054539948702,8.486360304057598,82
3.8814504854381084,5.916675306856632,61
2.8212956842035055,6.672347594052553,65
2.757597804069519,3.8035172037780285,39
2.1183545645326376,3.4758023153990507,28
1.9710405208170414,10.460257852450013,187
1.85636649094522,3.8323941323906183,37
2.0866859667003155,4.221594572067261,31
2.2417664751410484,5.982348075136542,30
2.9171190932393074,5.605198875069618,30
3.022678902372718,3.4871633984148502,12
3.786235688254237,10.134701514616609,98
2.9959494844079018,9.124285712838173,88
3.3751012701541185,3.522836087271571,10
3.6572223901748657,3.6615649480372667,15
3.166785851120949,12.957609159871936,155
2.88941041380167,4.139653902500868,34
3.2519465312361717,4.800896119326353,52
2.9068599082529545,12.178873496130109,162
1.8694459609687328,1.6262202579528093,12
2.5743301156908274,13.453332003206015,198
2.358635300770402,2.4045676086097956,2
2.2068676240742207,15.072931552305818,254
1.324749307706952,4.1340658981353045,28
2.380314325913787,4.745788054540753,47
2.35666642524302,5.065574403852224,56
2.329168166965246,10.294865036383271,181
3.004870232194662,3.5870551764965057,40
1.8266650326550007,15.030943071469665,271
1.629106741398573,7.971812374889851,132
2.736041147261858,5.900194976478815,74
2.152929550036788,5.0520628448575735,67
1.6251442283391953,2.293570715934038,17
1.8660087063908577,9.907705506309867,146
2.8029597755521536,2.6737571004778147,15
2.507303273305297,3.5064377542585135,19
1.7895681001245975,5.493122281506658,54
1.839571788907051,9.735144339501858,146
2.2678802236914635,4.08217185176909,42
2.8168531339615583,9.219906002283096,138
2.585030009970069,5.66934579052031,71
2.467173231765628,2.421692006289959,19
1.6606023870408535,1.9595371391624212,36
1.8138718530535698,11.704178627580404,188
0.9623854085803032,4.825691111385822,91
1.255724100396037,2.789433851838112,30
1.9624586161226034,2.0893619284033775,6
1.938620088621974,2.280805464833975,14
2.2277618441730738,3.253243200480938,12
2.13762922026217,4.2306575663387775,46
1.761871824041009,2.4154192246496677,11
3.6414397563785315,5.291326833888888,52
2.067046768963337,4.622607745230198,25
3.2090821620076895,6.044036388397217,51
2.9392799977213144,5.237608989700675,35
2.9766033571213484,2.3235691618174314,8
2.983782207593322,5.010717025026679,44
3.0768084432929754,5.10491494461894,64
2.6256845090538263,8.290650913491845,87
3.610891019925475,2.4394378382712603,10
2.3950952775776386,13.881561748683453,175
2.1130204387009144,2.4102629236876965,11
2.313771167770028,7.5379542745649815,111
2.1924156062304974,3.0740895718336105,34
2.1640363838523626,11.735676286742091,196
2.145558239892125,6.142029562965035,111
1.6604659147560596,4.821607820689678,34
1.7802916746586561,4.664158381521702,22
3.0890088863670826,2.347485464066267,2
2.854018123820424,6.502418020740151,65
3.7560567762702703,2.945327091962099,6
2.3177354466170073,5.345265299081802,35
2.7880322206765413,3.281762048602104,4
3.450664982199669,9.49678703956306,76
3.5946825835853815,6.099883496761322,37
4.319849744439125,6.313584556803107,36
3.388648770749569,5.364976095035672,35
2.3306283745914698,6.154141929000616,56
3.20260158367455,4.162923444062471,29
3.424170332029462,5.065680192783475,70
1.2552137561142445,2.4541492722928524,50
1.4770142491906881,3.9282206296920776,35
1.7006804831326008,6.147376071661711,50
1.65962303429842,4.226487800478935,15
2.5152435079216957,7.5355654917657375,51
2.7172799184918404,7.1405195984989405,42
3.084982305765152,6.577600723132491,34
3.81849317625165,7.974758019670844,65
3.8958075866103172,6.8990150690078735,41
3.9101751800626516,8.839041827246547,85
4.9569976180791855,4.306780304759741,51
4.3462817668914795,7.190803460776806,89
3.8782597593963146,8.089809624478221,103
3.5816175993531942,10.830299651250243,176
2.951390555128455,2.1256658639758825,33
1.2905989438295364,2.671279961243272,44
1.278775880113244,10.605009267106652,203
1.180692408233881,2.6859861239790916,30
2.060961242765188,2.100610313937068,7
1.7899080757051706,5.3744142558425665,46
